Team_Name,Pts_Scored,Pts_Al,Win,TDs,First_Sc,Second_Sc,Third_Sc,Fourth_Sc,First_Al,Second_Al,Third_Al,Fourth_Al,Off_Plys,Rush_Plys,Pass_Plys,Fumbles,Yds_Ply,Yds_Rush,Yds_Pass,Total_Yds_Gm,Total_Rush_Yds_Gm,Total_Pass_Yds_Gm,Yds_Ply_Al,Yds_Rush_Al,Yds_Pass_Al,Total_Yds_Gm_Al,Total_Rush_Yds_Gm_Al,Total_Pass_Yds_Gm_Al,Off_Plys_Al,Rush_Plys_Al,Pass_Plys_Al,Completion_Rate,Pass_Att,Pass_TDs,INTs,Sacks_Taken,Rush_TDs,Rush_Att,Pass_1Ds_Gm,Rush_1Ds_Gm,First_Ds_Gm,Third_Conv_Perc,Fourth_Conv_Perc,Sacks_Gm,INT_Gm,Fumbles_Caused,TO_Gm,FG_Att,FG_Perc_Comp,PAT_Att,PAT_Perc_Comp,Punts,Avg_Punt_Yds_Gm,Avg_Punt_Ret_Yds_Gm,Avg_Punt_Ret_Yds_Opp_Gm,Total_Punt_Ret_Yds_Gm,Total_Punt_Ret_Yds_Opp_Gm,Punt_Ret_TD,Punt_Ret_TD_Opp,Avg_Kick_Ret_Yds_Gm,Avg_Kick_Ret_Yds_Opp_Gm,Kick_Ret_TD_Opp,Kick_Ret_TD,Penalties,Penalty_Gm,Penalty_Yds_Gm,Playoff_app_5_yrs,Superbowl_Win,Draft_Pos,Week_Of_Szn,Perc_Pro_Bowl,Opp_Name,Year
Bears,19.0,14.0,1.0,2.0,0.0,3.0,16.0,0.0,0.0,7.0,0.0,7.0,69.0,26.0,41.0,0.0,4.9,2.5,6.8,335.0,65.0,270.0,4.9,5.2,4.2,243.0,109.0,134.0,58.0,21.0,36.0,0.6097560975609756,41.0,1.0,2.0,2.0,1.0,26.0,14.0,5.0,20.0,26.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,6.0,41.7,1.0,46.0,1.0,52.0,0.0,0.0,0.0,21.5,0.0,0.0,6-40,6.0,40.0,1.0,0.0,73.0,12.0,0.09433962264150944,Giants,2019.0
Bears,24.0,20.0,1.0,3.0,7.0,3.0,7.0,7.0,14.0,3.0,0.0,3.0,62.0,23.0,38.0,0.0,6.8,3.8,8.9,419.0,88.0,331.0,6.8,3.9,7.4,364.0,105.0,259.0,67.0,27.0,38.0,0.7631578947368421,38.0,3.0,1.0,1.0,0.0,23.0,16.0,6.0,22.0,50.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,48.0,-2.0,4.67,-4.0,14.0,0.0,0.0,45.0,17.0,0.0,0.0,10-89,10.0,89.0,1.0,0.0,73.0,13.0,0.09433962264150944,LionsDetroit,2019.0
Bears,31.0,24.0,1.0,4.0,0.0,17.0,7.0,7.0,7.0,0.0,0.0,17.0,67.0,34.0,31.0,1.0,5.7,4.4,7.9,382.0,151.0,231.0,5.7,3.7,6.8,408.0,82.0,326.0,73.0,22.0,49.0,0.7419354838709677,31.0,3.0,1.0,2.0,1.0,34.0,12.0,9.0,24.0,58.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,4.0,40.5,8.25,0.0,33.0,0.0,0.0,0.0,17.0,21.333333333333332,0.0,0.0,4-30,4.0,30.0,1.0,0.0,73.0,14.0,0.09433962264150944,CowboysDallas,2019.0
Bears,13.0,21.0,0.0,1.0,0.0,3.0,0.0,10.0,7.0,0.0,14.0,0.0,83.0,27.0,53.0,1.0,5.0,3.6,6.3,415.0,96.0,319.0,5.0,4.2,6.2,292.0,100.0,192.0,58.0,24.0,33.0,0.5471698113207547,53.0,1.0,2.0,3.0,0.0,27.0,15.0,4.0,20.0,45.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,38.8,9.5,12.0,19.0,12.0,0.0,0.0,22.0,35.5,0.0,0.0,4-35,4.0,35.0,1.0,0.0,73.0,15.0,0.09433962264150944,Bay,2019.0
Bears,3.0,26.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,10.0,0.0,9.0,59.0,22.0,34.0,0.0,4.0,4.6,4.6,234.0,101.0,133.0,4.0,3.7,7.6,350.0,106.0,244.0,63.0,29.0,33.0,0.5294117647058824,34.0,0.0,0.0,3.0,0.0,22.0,8.0,7.0,18.0,41.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,3.0,46.3,9.0,5.0,18.0,10.0,0.0,0.0,18.5,28.5,0.0,0.0,7-50,7.0,50.0,1.0,0.0,73.0,16.0,0.09433962264150944,City,2019.0
Bears,21.0,19.0,1.0,1.0,6.0,5.0,7.0,3.0,0.0,6.0,0.0,13.0,75.0,34.0,37.0,1.0,4.5,4.6,5.6,337.0,158.0,179.0,4.5,6.7,6.0,300.0,174.0,126.0,47.0,26.0,21.0,0.7027027027027027,37.0,0.0,0.0,4.0,1.0,34.0,13.0,10.0,24.0,43.0,50.0,0.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,55.5,0.0,0.0,0.0,8.0,0.0,0.0,22.0,28.0,0.0,0.0,3-34,3.0,34.0,1.0,0.0,73.0,17.0,0.09433962264150944,VikingsMinnesota,2019.0
Bengals,20.0,21.0,0.0,2.0,3.0,14.0,0.0,3.0,0.0,14.0,0.0,7.0,70.0,14.0,51.0,3.0,6.1,2.4,8.2,429.0,34.0,395.0,6.1,2.9,9.8,232.0,72.0,160.0,49.0,25.0,20.0,0.6862745098039216,51.0,2.0,0.0,5.0,0.0,14.0,18.0,1.0,22.0,40.0,0.0,4.0,0.0,1.0,1.0,3.0,0.6666666666666666,2.0,1.0,4.0,44.2,8.5,0.0,34.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,7-57,7.0,57.0,2.0,0.0,11.0,1.0,0.03773584905660377,SeahawksSeattle,2019.0
Bengals,17.0,41.0,0.0,2.0,7.0,3.0,0.0,7.0,14.0,10.0,10.0,7.0,65.0,19.0,42.0,0.0,4.9,1.3,7.4,316.0,25.0,291.0,4.9,6.2,12.0,571.0,259.0,312.0,68.0,42.0,26.0,0.6190476190476191,42.0,2.0,1.0,4.0,0.0,19.0,11.0,2.0,14.0,50.0,50.0,0.0,1.0,0.0,1.0,2.0,0.5,2.0,1.0,5.0,45.2,0.0,0.0,0.0,4.0,0.0,0.0,22.8,13.0,0.0,0.0,7-60,7.0,60.0,2.0,0.0,11.0,2.0,0.03773584905660377,Francisco,2019.0
Bengals,17.0,21.0,0.0,2.0,0.0,0.0,7.0,10.0,8.0,6.0,0.0,7.0,57.0,19.0,36.0,2.0,5.4,3.5,6.9,306.0,66.0,240.0,5.4,4.9,6.8,416.0,175.0,241.0,73.0,36.0,36.0,0.5555555555555556,36.0,1.0,2.0,2.0,1.0,19.0,12.0,4.0,17.0,27.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,40.5,4.0,1.33,8.0,4.0,0.0,0.0,18.5,23.0,0.0,0.0,8-54,8.0,54.0,2.0,0.0,11.0,3.0,0.03773584905660377,BillsBuffalo,2019.0
Bengals,3.0,27.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,14.0,3.0,64.0,19.0,37.0,1.0,2.7,3.8,4.6,175.0,73.0,102.0,2.7,2.6,8.4,326.0,66.0,260.0,56.0,25.0,31.0,0.5675675675675675,37.0,0.0,1.0,8.0,0.0,19.0,9.0,5.0,16.0,28.0,33.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,8-60,8.0,60.0,2.0,0.0,11.0,4.0,0.03773584905660377,SteelersPittsburgh,2019.0
