Team_Name,Pts_Scored,Pts_Al,Win,TDs,First_Sc,Second_Sc,Third_Sc,Fourth_Sc,First_Al,Second_Al,Third_Al,Fourth_Al,Off_Plys,Rush_Plys,Pass_Plys,Fumbles,Yds_Ply,Yds_Rush,Yds_Pass,Total_Yds_Gm,Total_Rush_Yds_Gm,Total_Pass_Yds_Gm,Yds_Ply_Al,Yds_Rush_Al,Yds_Pass_Al,Total_Yds_Gm_Al,Total_Rush_Yds_Gm_Al,Total_Pass_Yds_Gm_Al,Off_Plys_Al,Rush_Plys_Al,Pass_Plys_Al,Completion_Rate,Pass_Att,Pass_TDs,INTs,Sacks_Taken,Rush_TDs,Rush_Att,Pass_1Ds_Gm,Rush_1Ds_Gm,First_Ds_Gm,Third_Conv_Perc,Fourth_Conv_Perc,Sacks_Gm,INT_Gm,Fumbles_Caused,TO_Gm,FG_Att,FG_Perc_Comp,PAT_Att,PAT_Perc_Comp,Punts,Avg_Punt_Yds_Gm,Avg_Punt_Ret_Yds_Gm,Avg_Punt_Ret_Yds_Opp_Gm,Total_Punt_Ret_Yds_Gm,Total_Punt_Ret_Yds_Opp_Gm,Punt_Ret_TD,Punt_Ret_TD_Opp,Avg_Kick_Ret_Yds_Gm,Avg_Kick_Ret_Yds_Opp_Gm,Kick_Ret_TD_Opp,Kick_Ret_TD,Penalties,Penalty_Gm,Penalty_Yds_Gm,Playoff_app_5_yrs,Superbowl_Win,Draft_Pos,Week_Of_Szn,Perc_Pro_Bowl,Opp_Name,Year
Bears,23.0,24.0,0.0,1.0,7.0,10.0,3.0,3.0,0.0,0.0,3.0,21.0,66.0,27.0,35.0,1.0,4.5,5.1,4.9,294.0,139.0,155.0,4.5,3.8,9.2,370.0,69.0,301.0,59.0,18.0,37.0,0.6571428571428571,35.0,0.0,0.0,4.0,1.0,27.0,8.0,7.0,18.0,41.0,0.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0,50.2,22.5,17.0,45.0,17.0,0.0,0.0,18.0,22.666666666666668,0.0,0.0,5-35,5.0,35.0,0.0,0.0,8.0,1.0,0.03773584905660377,Bay,2018.0
Bears,24.0,17.0,1.0,2.0,7.0,3.0,0.0,14.0,0.0,3.0,0.0,14.0,63.0,27.0,34.0,0.0,4.3,3.2,5.9,271.0,86.0,185.0,4.3,3.4,6.3,276.0,74.0,202.0,64.0,22.0,36.0,0.7352941176470589,34.0,2.0,2.0,2.0,0.0,27.0,11.0,7.0,20.0,41.0,100.0,6.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,41.2,14.5,14.0,58.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,7-55,7.0,55.0,0.0,0.0,8.0,2.0,0.03773584905660377,SeahawksSeattle,2018.0
Bears,16.0,14.0,1.0,1.0,0.0,3.0,10.0,3.0,14.0,0.0,0.0,0.0,69.0,31.0,35.0,1.0,4.6,3.9,6.3,316.0,122.0,194.0,4.6,2.9,7.4,221.0,53.0,168.0,48.0,18.0,26.0,0.6857142857142857,35.0,0.0,1.0,3.0,1.0,31.0,11.0,7.0,21.0,35.0,100.0,4.0,3.0,1.0,4.0,4.0,0.75,1.0,1.0,3.0,52.7,12.0,7.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7-45,7.0,45.0,0.0,0.0,8.0,3.0,0.03773584905660377,CardinalsArizona,2018.0
Bears,48.0,10.0,1.0,6.0,14.0,24.0,7.0,3.0,0.0,3.0,0.0,7.0,58.0,31.0,26.0,0.0,8.3,4.5,13.6,483.0,139.0,344.0,8.3,3.3,7.1,311.0,60.0,251.0,60.0,18.0,38.0,0.7307692307692307,26.0,6.0,0.0,1.0,0.0,31.0,15.0,10.0,28.0,50.0,0.0,4.0,3.0,0.0,3.0,2.0,1.0,6.0,1.0,2.0,48.0,4.67,2.0,14.0,2.0,0.0,0.0,28.0,21.0,0.0,0.0,4-38,4.0,38.0,0.0,0.0,8.0,4.0,0.03773584905660377,Bay,2018.0
Bears,28.0,31.0,0.0,4.0,0.0,0.0,21.0,7.0,7.0,0.0,6.0,15.0,64.0,31.0,31.0,2.0,7.3,5.3,10.2,467.0,164.0,303.0,7.3,5.2,8.6,541.0,161.0,380.0,75.0,31.0,44.0,0.7096774193548387,31.0,3.0,1.0,2.0,1.0,31.0,11.0,8.0,23.0,66.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,4.0,1.0,2.0,39.5,5.0,0.0,5.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,6-58,6.0,58.0,0.0,0.0,8.0,6.0,0.03773584905660377,DolphinsMiami,2018.0
Bears,31.0,38.0,0.0,4.0,10.0,7.0,7.0,7.0,7.0,14.0,10.0,7.0,77.0,25.0,50.0,0.0,5.9,5.4,6.7,453.0,134.0,319.0,5.9,4.0,7.7,381.0,108.0,273.0,64.0,27.0,36.0,0.52,50.0,2.0,2.0,2.0,2.0,25.0,18.0,7.0,29.0,50.0,100.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,4.0,43.2,17.0,1.5,17.0,3.0,0.0,0.0,23.0,44.75,1.0,0.0,5-40,5.0,40.0,0.0,0.0,8.0,7.0,0.03773584905660377,England,2018.0
Bears,24.0,10.0,1.0,3.0,7.0,0.0,7.0,10.0,0.0,3.0,0.0,7.0,65.0,34.0,29.0,0.0,6.1,5.3,7.6,395.0,179.0,216.0,6.1,2.4,5.3,207.0,57.0,150.0,54.0,24.0,29.0,0.5517241379310345,29.0,2.0,0.0,2.0,1.0,34.0,11.0,10.0,22.0,33.0,100.0,1.0,0.0,0.0,0.0,2.0,0.5,3.0,1.0,5.0,45.0,9.0,8.0,36.0,8.0,0.0,0.0,19.0,0.0,0.0,0.0,2-25,2.0,25.0,0.0,0.0,8.0,8.0,0.03773584905660377,Jets,2018.0
Bears,41.0,9.0,1.0,3.0,0.0,28.0,3.0,10.0,0.0,0.0,3.0,6.0,46.0,25.0,20.0,0.0,4.1,2.6,6.8,190.0,64.0,126.0,4.1,3.5,3.8,264.0,98.0,166.0,81.0,28.0,49.0,0.6,20.0,1.0,1.0,1.0,2.0,25.0,5.0,4.0,11.0,27.0,0.0,4.0,3.0,1.0,4.0,2.0,1.0,5.0,1.0,5.0,40.0,16.0,6.5,48.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,14-129,14.0,129.0,0.0,0.0,8.0,9.0,0.03773584905660377,BillsBuffalo,2018.0
Bears,34.0,22.0,1.0,5.0,13.0,13.0,8.0,0.0,0.0,7.0,3.0,12.0,53.0,22.0,30.0,0.0,7.6,2.5,11.8,402.0,54.0,348.0,7.6,3.2,6.5,305.0,76.0,229.0,72.0,24.0,42.0,0.7666666666666667,30.0,3.0,0.0,1.0,2.0,22.0,13.0,3.0,20.0,40.0,0.0,6.0,2.0,1.0,3.0,2.0,0.0,4.0,0.5,3.0,48.0,18.0,11.0,18.0,11.0,0.0,0.0,11.5,20.333333333333332,0.0,0.0,6-46,6.0,46.0,0.0,0.0,8.0,10.0,0.03773584905660377,LionsDetroit,2018.0
Bears,25.0,20.0,1.0,1.0,3.0,11.0,0.0,11.0,0.0,0.0,3.0,17.0,71.0,39.0,31.0,1.0,4.3,3.8,5.3,308.0,148.0,160.0,4.3,1.6,5.7,268.0,22.0,246.0,62.0,14.0,46.0,0.6451612903225806,31.0,1.0,2.0,1.0,0.0,39.0,12.0,8.0,24.0,50.0,0.0,2.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,2.0,35.5,11.0,10.0,11.0,10.0,0.0,0.0,21.0,28.5,0.0,0.0,5-46,5.0,46.0,0.0,0.0,8.0,11.0,0.03773584905660377,VikingsMinnesota,2018.0
