Team_Name,Pts_Scored,Pts_Al,Win,TDs,First_Sc,Second_Sc,Third_Sc,Fourth_Sc,First_Al,Second_Al,Third_Al,Fourth_Al,Off_Plys,Rush_Plys,Pass_Plys,Fumbles,Yds_Ply,Yds_Rush,Yds_Pass,Total_Yds_Gm,Total_Rush_Yds_Gm,Total_Pass_Yds_Gm,Yds_Ply_Al,Yds_Rush_Al,Yds_Pass_Al,Total_Yds_Gm_Al,Total_Rush_Yds_Gm_Al,Total_Pass_Yds_Gm_Al,Off_Plys_Al,Rush_Plys_Al,Pass_Plys_Al,Completion_Rate,Pass_Att,Pass_TDs,INTs,Sacks_Taken,Rush_TDs,Rush_Att,Pass_1Ds_Gm,Rush_1Ds_Gm,First_Ds_Gm,Third_Conv_Perc,Fourth_Conv_Perc,Sacks_Gm,INT_Gm,Fumbles_Caused,TO_Gm,FG_Att,FG_Perc_Comp,PAT_Att,PAT_Perc_Comp,Punts,Avg_Punt_Yds_Gm,Avg_Punt_Ret_Yds_Gm,Avg_Punt_Ret_Yds_Opp_Gm,Total_Punt_Ret_Yds_Gm,Total_Punt_Ret_Yds_Opp_Gm,Punt_Ret_TD,Punt_Ret_TD_Opp,Avg_Kick_Ret_Yds_Gm,Avg_Kick_Ret_Yds_Opp_Gm,Kick_Ret_TD_Opp,Kick_Ret_TD,Penalties,Penalty_Gm,Penalty_Yds_Gm,Playoff_app_5_yrs,Superbowl_Win,Draft_Pos,Week_Of_Szn,Perc_Pro_Bowl,Opp_Name,Year
Bengals,23.0,23.0,0.0,2.0,0.0,10.0,7.0,6.0,0.0,13.0,3.0,7.0,70.0,18.0,44.0,0.0,4.3,2.7,7.1,304.0,48.0,256.0,4.3,4.9,4.8,381.0,175.0,206.0,86.0,36.0,47.0,0.7045454545454546,44.0,2.0,0.0,8.0,0.0,18.0,19.0,2.0,24.0,23.0,0.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,7.0,42.6,9.25,1.0,37.0,2.0,0.0,0.0,19.5,0.0,0.0,0.0,9-73,9.0,73.0,1.0,0.0,1.0,3.0,0.018867924528301886,EaglesPhiladelphia,2020.0
Bengals,33.0,25.0,1.0,3.0,3.0,7.0,17.0,6.0,7.0,6.0,0.0,12.0,71.0,34.0,36.0,0.0,7.1,6.0,8.3,505.0,205.0,300.0,7.1,4.5,8.8,429.0,89.0,340.0,63.0,20.0,40.0,0.6944444444444444,36.0,1.0,1.0,1.0,2.0,34.0,15.0,12.0,28.0,36.0,100.0,3.0,1.0,0.0,1.0,4.0,1.0,3.0,1.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,7-73,7.0,73.0,1.0,0.0,1.0,4.0,0.018867924528301886,JaguarsJacksonville,2020.0
Bengals,3.0,27.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,3.0,7.0,65.0,28.0,30.0,2.0,3.2,2.5,6.1,205.0,70.0,135.0,3.2,6.7,4.9,332.0,161.0,171.0,62.0,24.0,37.0,0.6333333333333333,30.0,0.0,1.0,7.0,0.0,28.0,9.0,3.0,12.0,18.0,66.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,50.1,4.0,3.33,4.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,5-40,5.0,40.0,1.0,0.0,1.0,5.0,0.018867924528301886,RavensBaltimore,2020.0
Bengals,27.0,31.0,0.0,3.0,14.0,10.0,3.0,0.0,0.0,21.0,0.0,10.0,73.0,32.0,39.0,0.0,5.5,3.1,8.0,398.0,98.0,300.0,5.5,3.9,8.4,430.0,59.0,371.0,60.0,15.0,44.0,0.6410256410256411,39.0,0.0,1.0,2.0,3.0,32.0,14.0,6.0,22.0,47.0,100.0,1.0,1.0,1.0,2.0,3.0,0.6666666666666666,3.0,1.0,3.0,43.7,6.0,8.5,12.0,17.0,0.0,0.0,20.0,25.0,0.0,0.0,6-20,6.0,20.0,1.0,0.0,1.0,6.0,0.018867924528301886,ColtsIndianapolis,2020.0
Bengals,34.0,37.0,0.0,4.0,7.0,10.0,3.0,14.0,3.0,7.0,7.0,20.0,73.0,21.0,48.0,1.0,6.4,3.9,8.8,468.0,81.0,387.0,6.4,3.7,10.9,398.0,82.0,316.0,51.0,22.0,29.0,0.75,48.0,3.0,1.0,4.0,1.0,21.0,24.0,5.0,31.0,66.0,100.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,1.0,0.0,,11.0,0.0,11.0,0.0,0.0,0.0,18.75,21.5,0.0,0.0,7-45,7.0,45.0,1.0,0.0,1.0,7.0,0.018867924528301886,BrownsCleveland,2020.0
Bengals,31.0,20.0,1.0,4.0,3.0,14.0,0.0,14.0,0.0,7.0,0.0,13.0,69.0,32.0,37.0,0.0,5.3,3.7,6.7,367.0,118.0,249.0,5.3,7.5,7.8,441.0,218.0,223.0,60.0,29.0,30.0,0.7027027027027027,37.0,2.0,0.0,0.0,2.0,32.0,16.0,7.0,27.0,66.0,100.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,3.0,43.3,0.0,3.0,0.0,3.0,0.0,0.0,24.25,15.0,0.0,0.0,7-45,7.0,45.0,1.0,0.0,1.0,8.0,0.018867924528301886,TitansTennessee,2020.0
Bills,27.0,17.0,1.0,3.0,14.0,7.0,0.0,6.0,0.0,3.0,7.0,7.0,81.0,32.0,46.0,2.0,5.0,3.1,6.8,404.0,98.0,306.0,5.0,3.5,6.1,254.0,52.0,202.0,53.0,15.0,35.0,0.717391304347826,46.0,2.0,0.0,3.0,1.0,32.0,17.0,8.0,31.0,50.0,100.0,3.0,1.0,1.0,2.0,4.0,0.5,3.0,1.0,1.0,53.0,13.6,0.0,68.0,0.0,0.0,0.0,31.0,16.0,0.0,0.0,7-79,7.0,79.0,2.0,0.0,54.0,1.0,0.018867924528301886,Jets,2020.0
Bills,31.0,28.0,1.0,4.0,7.0,10.0,0.0,14.0,7.0,3.0,3.0,15.0,59.0,23.0,35.0,1.0,8.9,4.9,11.9,523.0,112.0,411.0,8.9,4.5,7.0,410.0,99.0,311.0,72.0,22.0,47.0,0.6857142857142857,35.0,4.0,0.0,1.0,0.0,23.0,15.0,7.0,23.0,50.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,4.0,41.0,9.0,5.5,18.0,11.0,0.0,0.0,-1.0,0.0,0.0,0.0,6-55,6.0,55.0,2.0,0.0,54.0,2.0,0.018867924528301886,DolphinsMiami,2020.0
Bills,35.0,32.0,1.0,5.0,7.0,14.0,7.0,7.0,0.0,3.0,14.0,15.0,58.0,21.0,33.0,1.0,6.5,4.8,9.4,375.0,101.0,274.0,6.5,5.2,10.0,478.0,167.0,311.0,66.0,32.0,32.0,0.7272727272727273,33.0,4.0,1.0,4.0,1.0,21.0,14.0,8.0,23.0,50.0,100.0,2.0,1.0,1.0,2.0,0.0,,5.0,1.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,15.0,0.0,0.0,5-55,5.0,55.0,2.0,0.0,54.0,3.0,0.018867924528301886,Rams,2020.0
Bills,30.0,23.0,1.0,4.0,7.0,10.0,0.0,13.0,3.0,10.0,3.0,7.0,59.0,24.0,34.0,0.0,5.7,2.6,8.5,337.0,63.0,274.0,5.7,3.7,7.1,383.0,86.0,297.0,69.0,23.0,44.0,0.7058823529411765,34.0,2.0,0.0,1.0,2.0,24.0,14.0,5.0,21.0,53.0,100.0,2.0,0.0,2.0,2.0,1.0,1.0,4.0,0.75,3.0,46.3,38.0,16.0,38.0,16.0,0.0,0.0,0.0,23.5,0.0,0.0,5-81,5.0,81.0,2.0,0.0,54.0,4.0,0.018867924528301886,Vegas,2020.0
